Log Timestamp,Event Timestamp,Node Name,Msg Length,Delay,Bandwidth
1677907138.552481,1677907138.551829,node1,704,0.0006518363952636719,1080025.6093635699
1677907138.644419,1677907138.64274,node1,696,0.0016789436340332031,414546.3765975575
1677907138.717407,1677907138.716973,node3,704,0.00043392181396484375,1622412.0967032968
1677907138.843508,1677907138.842582,node2,704,0.0009260177612304688,760244.597322348
1677907139.253823,1677907139.2465012,node3,712,0.007321834564208984,97243.38808205797
1677907139.2646139,1677907139.26354,node3,696,0.0010738372802734375,648142.891651865
1677907139.474174,1677907139.4725142,node3,712,0.0016598701477050781,428949.2168916978
1677907139.790011,1677907139.788098,node2,704,0.001912832260131836,368040.6351738751
1677907139.794938,1677907139.7939498,node2,712,0.0009882450103759766,720469.106875754
1677907139.8147042,1677907139.813979,node2,704,0.0007252693176269531,970673.9040105194
